station_id,date,avg_temp
ST006,2024-11-23,23.044999999999998
ST057,2028-07-18,26.165
ST013,2027-11-24,8.425
ST023,2027-08-04,28.42
ST094,2025-05-29,7.44
ST083,2024-06-20,14.99
ST042,2026-07-10,8.45
ST061,2025-11-06,8.17
ST029,2026-09-22,29.85
ST060,2028-07-19,18.01
ST092,2026-12-11,29.03
ST052,2029-06-24,18.09
ST047,2024-05-16,21.8
ST093,2026-04-04,8.385
ST091,2029-03-24,30.64
ST009,2026-09-06,18.92
ST084,2027-02-04,24.73
ST096,2027-08-02,14.66
ST078,2026-11-19,15.995000000000001
ST092,2028-04-23,30.49
ST051,2026-09-17,24.69
ST003,2026-05-16,14.41
ST002,2026-04-16,15.58
ST011,2024-02-21,5.74
ST010,2027-06-08,20.17
ST037,2024-03-16,11.12
ST023,2024-01-25,9.87
ST073,2026-04-29,11.35
ST046,2028-02-04,30.46
ST063,2027-05-22,19.93
ST075,2028-09-08,-3.34
ST036,2025-10-26,9.209999999999999
ST075,2024-11-16,9.945
ST081,2024-11-06,0.03
ST015,2024-09-22,4.0
ST027,2026-12-16,24.47
ST098,2029-05-31,22.78
ST095,2028-01-18,19.604999999999997
ST030,2027-12-21,12.006666666666666
ST071,2024-04-02,13.416666666666666
ST098,2027-05-18,24.99
ST097,2026-09-07,19.99
ST064,2028-07-18,19.61
ST055,2027-02-11,15.95
ST089,2028-08-28,17.77333333333333
ST083,2028-09-23,19.41
ST018,2028-02-23,4.625
ST052,2029-07-25,-7.47
ST058,2029-08-14,8.35
ST055,2024-09-30,3.06
ST017,2025-01-14,22.12
ST034,2027-05-05,8.94
ST030,2028-06-04,17.93
ST013,2025-08-10,13.993333333333334
ST074,2029-07-01,10.795000000000002
ST089,2024-02-07,15.08
ST012,2028-07-21,19.42
ST017,2025-02-04,7.03
ST080,2025-02-13,11.51
ST086,2025-05-26,21.37
ST034,2027-11-23,16.78
ST085,2026-03-26,13.96
ST009,2025-12-11,17.2
ST024,2028-06-14,15.11
ST039,2027-03-10,24.87
ST060,2025-09-16,15.45
ST100,2025-10-10,16.619999999999997
ST007,2024-10-11,15.780000000000001
ST014,2026-10-18,11.625
ST043,2026-06-05,8.91
ST073,2026-11-10,12.1
ST018,2024-10-23,23.55
ST027,2026-03-04,5.46
ST064,2024-04-30,23.48
ST020,2025-03-11,20.285
ST093,2024-08-26,27.33
ST004,2027-04-15,11.95
ST007,2025-10-07,18.365
ST027,2028-04-09,3.79
ST041,2024-03-30,9.899999999999999
ST047,2027-01-12,-0.29
ST027,2028-04-22,-0.06
ST011,2027-05-11,21.01
ST002,2024-10-16,7.376666666666666
ST050,2024-07-18,1.24
ST043,2025-05-10,20.055
ST011,2025-08-28,23.99
ST071,2029-02-05,2.17
ST003,2027-08-05,3.09
ST069,2028-10-20,13.010000000000002
ST051,2027-05-25,11.77
ST053,2025-08-06,11.07
ST093,2027-12-15,16.18
ST040,2026-11-27,20.55
ST046,2027-09-18,20.939999999999998
ST026,2026-04-08,22.14
ST007,2026-10-12,15.89
ST048,2024-08-14,22.015
ST018,2029-01-14,16.855
ST074,2029-08-30,14.5
ST050,2027-03-16,24.2
ST063,2028-10-15,14.08
ST041,2026-06-03,1.71
ST069,2027-06-08,35.25
ST055,2026-01-22,11.88
ST041,2025-03-28,37.66
ST032,2028-07-28,25.57
ST026,2028-06-22,39.6
ST022,2028-02-12,18.34
ST028,2028-08-24,12.575
ST009,2026-03-05,2.58
ST089,2027-02-22,21.7
ST067,2026-03-27,13.67
ST016,2029-06-21,9.305
ST098,2028-05-03,17.84
ST071,2029-01-11,20.58
ST057,2025-10-18,13.07
ST024,2024-06-04,15.9
ST080,2027-01-25,12.825
ST056,2028-08-14,11.61
ST020,2024-07-30,22.07
ST023,2026-03-28,13.73
ST077,2024-02-13,18.22
ST099,2027-11-17,14.69
ST022,2025-09-17,5.59
ST012,2027-01-12,9.32
ST077,2024-01-23,18.47
ST064,2025-06-24,-2.98
ST062,2028-11-24,22.39
ST084,2027-08-16,0.75
ST066,2024-06-21,9.16
ST028,2027-10-13,17.42
ST100,2024-07-14,26.37
ST035,2027-06-24,14.033333333333337
ST063,2025-09-23,7.2
ST018,2025-06-23,32.13
ST076,2025-05-21,17.96
ST045,2027-01-24,24.76
ST019,2027-05-26,24.05
ST065,2024-07-06,20.2
ST047,2029-01-27,23.63
ST089,2027-09-05,21.715
ST100,2025-01-05,27.29
ST010,2025-09-29,26.08
ST009,2027-02-19,3.6
ST026,2027-06-25,6.925
ST006,2024-07-08,15.565000000000001
ST020,2026-09-23,13.97
ST010,2025-04-20,14.34
ST063,2026-09-03,14.65
ST019,2024-08-24,29.240000000000002
ST018,2027-11-17,22.71
ST039,2026-07-24,15.030000000000001
ST004,2024-04-28,14.04
ST063,2029-01-31,29.6
ST024,2025-11-04,14.754999999999999
ST073,2026-06-24,14.77
ST042,2025-06-03,13.79
ST051,2025-07-13,40.73
ST050,2025-01-08,15.44
ST034,2026-03-23,6.65
ST041,2029-03-26,14.81
ST044,2028-07-31,30.54
ST015,2028-07-12,15.63
ST071,2029-05-13,27.38
ST092,2026-07-11,14.6
ST019,2026-10-23,27.14
ST078,2029-06-03,3.49
ST023,2024-05-06,27.61
ST091,2027-10-25,6.710000000000001
ST060,2029-01-23,4.6
ST060,2024-04-21,27.21
ST094,2029-07-23,14.995000000000001
ST046,2029-01-25,18.67
ST033,2029-01-19,4.71
ST051,2024-01-16,6.31
ST035,2028-12-10,16.4
ST029,2027-11-20,27.415
ST062,2025-09-14,16.7
ST052,2024-06-29,9.91
ST063,2024-10-10,15.204999999999998
ST093,2024-09-29,24.015
ST050,2024-08-03,12.65
ST084,2028-05-14,16.1
ST083,2027-06-18,18.28
ST021,2029-04-21,6.08
ST052,2027-12-19,4.34
ST018,2028-06-04,-1.55
ST010,2026-01-04,17.75
ST100,2028-02-23,4.15
ST092,2029-07-13,28.25
ST040,2029-05-02,12.99
ST046,2027-03-08,10.63
